postal_code,estimated_cat_population,estimated_dog_population
BH14,"3,177.19","3,643.67"
BH15,"3,934.76","4,512.47"
BH16,"1,696.54","1,945.63"
BH17,"2,816.25","3,229.73"
BH18,"1,824.47","2,092.34"
BH19,"2,012.77","2,308.29"
BH2,"1,114.41","1,278.03"
BH20,"8,999.01","10,320.26"
BH21,"16,030.49","18,384.10"
BH22,"4,327.27","4,962.60"
BH23,"11,202.45","12,847.20"
BH24,"12,741.27","14,611.96"
BH25,"4,883.87","5,600.92"
BH3,"1,009.75","1,158.00"
BH31,"4,582.86","5,255.71"
BH4,854.8001577,980.3027915
BH5,"1,010.31","1,158.65"
BH6,"2,119.66","2,430.88"
BH7,990.7446457,"1,136.21"
BH8,"2,878.34","3,300.94"
BH9,"3,665.29","4,203.43"
BL0,"1,311.50","1,504.05"
BL1,"4,431.51","5,082.14"
BL2,"6,802.64","7,801.41"
BL3,"3,819.55","4,380.34"
BL4,"2,364.03","2,711.12"
BL5,"3,114.15","3,571.37"
BL6,"4,716.62","5,409.12"
BL7,"1,499.30","1,719.43"
BL8,"4,556.94","5,225.99"
BL9,"6,749.93","7,740.97"
BN1,"12,964.63","14,868.11"
BN10,"3,164.88","3,629.55"
BN11,"6,825.70","7,827.86"
BN12,"3,402.88","3,902.50"
BN13,"7,415.08","8,503.77"
BN14,"11,746.57","13,471.21"
BN15,"6,906.32","7,920.31"
BN16,"8,717.39","9,997.28"
BN17,"3,731.14","4,278.95"
BN18,"3,490.23","4,002.67"
BN2,"14,037.54","16,098.55"
BN20,"7,068.60","8,106.42"
BN21,"2,642.45","3,030.42"
BN22,"4,717.09","5,409.66"
BN23,"6,475.35","7,426.06"
BN24,"1,972.45","2,262.05"
BN25,"4,297.38","4,928.32"
BN26,"2,932.97","3,363.59"
BN27,"4,564.88","5,235.09"
BN3,"8,336.43","9,560.39"
BN41,"2,939.46","3,371.03"
BN42,"2,771.77","3,178.73"
BN43,"7,524.24","8,628.95"
BN44,"2,867.60","3,288.63"
BN45,433.9472095,497.6597829
BN5,"2,131.34","2,444.26"
BN6,"2,527.32","2,898.39"
BN7,"4,951.27","5,678.22"
BN8,"6,627.19","7,600.20"
BN9,"2,420.78","2,776.21"
BR1,"3,612.05","4,142.38"
BR2,"2,546.50","2,920.38"
BR3,"2,436.91","2,794.70"
BR4,894.3004194,"1,025.60"
BR5,"4,479.64","5,137.34"
BR6,"5,444.55","6,243.92"
BR7,"1,161.42","1,331.94"
BR8,"2,279.51","2,614.18"
BS1,"2,209.63","2,534.05"
BS10,"3,088.43","3,541.88"
BS11,"2,231.48","2,559.11"
BS13,"4,145.87","4,754.57"
BS14,"10,205.62","11,704.02"
