postal_code,estimated_cat_population,estimated_dog_population
EX31,"18,944.44","21,725.89"
EX32,"5,566.01","6,383.22"
EX33,"4,226.12","4,846.60"
EX34,"10,215.26","11,715.08"
EX35,"1,894.17","2,172.28"
EX36,"6,928.58","7,945.84"
EX37,"1,191.90","1,366.90"
EX38,751.1651241,861.4519563
EX39,"18,206.69","20,879.82"
EX4,"8,283.86","9,500.10"
EX5,"4,436.85","5,088.27"
EX6,"9,513.85","10,910.69"
EX7,"1,842.98","2,113.56"
EX8,"9,302.39","10,668.17"
EX9,"2,095.85","2,403.57"
FK1,"3,200.40","3,670.28"
FK10,"2,982.90","3,420.86"
FK11,349.4417437,400.7471381
FK12,446.5137204,512.0713217
FK13,554.5425672,635.9610744
FK14,493.8418302,566.3481931
FK15,"4,435.18","5,086.35"
FK16,"1,116.13","1,280.00"
FK17,"1,838.50","2,108.43"
FK18,118.0526496,135.3852604
FK19,240.4474775,275.7502222
FK2,"5,888.59","6,753.16"
FK20,50.74555728,58.19607193
FK21,408.1057916,468.0243015
FK3,"1,011.60","1,160.13"
FK4,742.9779205,852.0626991
FK5,689.7897773,791.0654183
FK6,"2,123.57","2,435.35"
FK7,"10,236.43","11,739.35"
FK8,"4,047.52","4,641.78"
FK9,"2,036.49","2,335.49"
FY1,"1,882.36","2,158.73"
FY2,"1,903.21","2,182.64"
FY3,"1,971.65","2,261.13"
FY4,"2,561.56","2,937.65"
FY5,"7,398.65","8,484.93"
FY6,"6,462.93","7,411.82"
FY7,"2,611.65","2,995.09"
FY8,"8,630.87","9,898.06"
G1,"1,086.31","1,245.80"
G11,"3,255.78","3,733.80"
G12,"4,620.70","5,299.12"
G13,"6,478.03","7,429.14"
G14,"2,808.81","3,221.20"
G15,991.5909819,"1,137.18"
G2,"1,269.74","1,456.16"
G20,"2,869.05","3,290.28"
G21,"1,350.32","1,548.58"
G22,991.6947911,"1,137.30"
G23,327.8940625,376.0358043
G3,"3,897.77","4,470.05"
G31,"1,523.30","1,746.95"
G32,"1,578.56","1,810.32"
G33,"1,938.02","2,222.56"
G34,375.2141345,430.3034577
G4,950.4259882,"1,089.97"
G40,878.2933961,"1,007.25"
G41,"6,603.07","7,572.53"
G42,"2,997.68","3,437.81"
G43,"2,780.06","3,188.23"
G44,"2,011.14","2,306.42"
G45,"1,333.75","1,529.57"
G46,"1,696.66","1,945.77"
G5,"1,372.98","1,574.57"
G51,"4,743.28","5,439.70"
G52,"3,041.64","3,488.22"
G53,"2,798.53","3,209.42"
G60,237.7420995,272.6476378
G61,"6,267.68","7,187.90"
G62,"2,861.30","3,281.40"
G63,"2,933.42","3,364.11"
G64,"3,657.41","4,194.40"
G65,"2,069.04","2,372.82"
G66,"3,836.01","4,399.21"
G67,"3,315.23","3,801.97"
G68,"1,404.06","1,610.20"
G69,"1,767.85","2,027.40"
G71,"2,916.40","3,344.59"
G72,"4,597.68","5,272.71"
G73,"2,927.34","3,357.14"
G74,"2,410.48","2,764.39"
G75,"3,324.59","3,812.71"
G76,"5,434.89","6,232.84"
G77,"2,968.02","3,403.79"
G78,777.1515228,891.2537046
G81,"1,666.61","1,911.31"
G82,"4,133.83","4,740.76"
G83,"1,488.86","1,707.46"
G84,"3,558.65","4,081.13"
GL1,"2,724.50","3,124.51"
GL10,"4,342.17","4,979.70"
GL11,"6,550.20","7,511.90"
GL12,"3,198.77","3,668.41"
GL13,"2,435.71","2,793.33"
GL14,"3,136.22","3,596.69"
GL15,"7,441.48","8,534.05"
GL16,"2,807.10","3,219.24"
GL17,"1,801.31","2,065.78"
GL18,"1,987.58","2,279.40"
GL19,"2,840.48","3,257.52"
GL2,"17,387.35","19,940.18"
GL20,"11,095.88","12,724.99"
GL3,"6,841.78","7,846.30"
GL4,"8,674.47","9,948.06"
GL5,"10,318.32","11,833.26"
GL50,"7,303.54","8,375.86"
GL51,"12,272.01","14,073.80"
GL52,"10,163.26","11,655.44"
GL53,"2,945.78","3,378.29"
GL54,"7,763.21","8,903.02"
GL55,"2,173.93","2,493.11"
GL56,"6,147.62","7,050.22"
GL6,"4,598.20","5,273.31"
GL7,"13,099.64","15,022.94"
GL8,"4,494.97","5,154.93"
GL9,564.1375639,646.9648183
GU1,"7,286.19","8,355.95"
GU10,"5,936.92","6,808.59"
GU11,"2,508.74","2,877.08"
GU12,"4,072.93","4,670.93"
GU14,"8,896.13","10,202.27"
GU15,"6,123.17","7,022.18"
GU16,"3,387.44","3,884.79"
GU17,"1,936.98","2,221.37"
GU18,"1,071.17","1,228.44"
GU19,"1,344.95","1,542.42"
GU2,"5,991.63","6,871.32"
GU20,"1,490.57","1,709.42"
GU21,"8,051.98","9,234.19"
GU22,"3,872.16","4,440.67"
GU23,"1,273.06","1,459.98"
GU24,"4,133.92","4,740.87"
GU25,"1,303.50","1,494.88"
GU26,"2,884.91","3,308.48"
GU27,"4,166.30","4,778.00"
GU28,"2,353.91","2,699.52"
GU29,"4,091.96","4,692.75"
GU3,"4,157.59","4,768.01"
GU30,"3,669.01","4,207.69"
GU31,"4,211.78","4,830.15"
GU32,"3,658.23","4,195.34"
GU33,834.1904431,956.6671376
GU34,"6,322.17","7,250.40"
GU35,"5,444.82","6,244.24"
GU4,"2,449.29","2,808.90"
GU46,"4,043.90","4,637.63"
GU47,"2,938.00","3,369.36"
GU5,"1,297.48","1,487.98"
GU51,"5,019.08","5,755.99"
GU52,"1,990.66","2,282.94"
GU6,"5,358.42","6,145.15"
GU7,"11,928.87","13,680.28"
GU8,"6,718.16","7,704.53"
GU9,"7,375.64","8,458.54"
HA0,"1,216.33","1,394.92"
HA1,"1,766.23","2,025.55"
HA2,"1,593.34","1,827.27"
HA3,"3,131.27","3,591.00"
HA4,"5,612.34","6,436.35"
HA5,"6,948.73","7,968.95"
HA6,"3,393.24","3,891.44"
HA7,"6,888.06","7,899.37"
HA8,"3,032.70","3,477.97"
HA9,"1,228.00","1,408.29"
HD1,"2,993.31","3,432.80"
HD2,"3,099.15","3,554.17"
HD3,"3,082.79","3,535.41"
HD4,"4,441.77","5,093.91"
HD5,"2,168.41","2,486.78"
HD6,"6,148.23","7,050.92"
HD7,"1,908.41","2,188.60"
HD8,"5,216.96","5,982.92"
HD9,"3,935.70","4,513.54"
HG1,"6,241.91","7,158.35"
HG2,"4,858.41","5,571.72"
HG3,"5,833.01","6,689.42"
HG4,"13,353.93","15,314.57"
HG5,"3,569.90","4,094.03"
HP1,"3,412.99","3,914.09"
HP10,"3,938.84","4,517.14"
HP11,"2,435.35","2,792.91"
HP12,"3,295.47","3,779.31"
HP13,"4,088.73","4,689.04"
HP14,"6,196.93","7,106.77"
HP15,"1,111.39","1,274.56"
HP16,"1,820.19","2,087.43"
HP17,"1,915.64","2,196.90"
HP18,"4,384.23","5,027.93"
HP19,"2,310.17","2,649.35"
HP2,"4,945.28","5,671.36"
HP20,"2,423.02","2,778.78"
HP21,"4,291.68","4,921.79"
HP22,"9,806.05","11,245.78"
HP23,"1,682.79","1,929.85"
HP27,"3,829.32","4,391.55"
HP3,"2,750.90","3,154.79"
HP4,"4,069.10","4,666.53"
HP5,"4,656.20","5,339.83"
HP6,"2,667.83","3,059.52"
HP7,"2,014.83","2,310.65"
HP8,992.0333873,"1,137.68"
HP9,"3,512.87","4,028.63"
HR1,"7,408.24","8,495.92"
HR2,"10,964.42","12,574.23"
HR3,"4,931.50","5,655.55"
HR4,"5,582.77","6,402.44"
HR5,"1,625.44","1,864.09"
HR6,"9,286.59","10,650.05"
HR7,"1,418.49","1,626.75"
HR8,"3,948.53","4,528.26"
HR9,"5,163.29","5,921.37"
HS1,222.7431997,255.4465842
HS2,545.3931893,625.4683754
HS3,62.91797828,72.15566024
HS4,14.13866796,16.21452165
HS5,12.70255271,14.5675545
HS6,554.7357631,636.1826354
HS7,357.1438878,409.5801189
HS8,579.7433102,664.8618162
HS9,"1,497.12","1,716.93"
HU1,"1,714.07","1,965.74"
HU10,"7,017.54","8,047.86"
HU11,"2,949.87","3,382.97"
HU12,"6,395.37","7,334.34"
HU13,"1,719.62","1,972.10"
HU14,"5,004.44","5,739.20"
HU15,"6,024.07","6,908.53"
HU16,"5,208.08","5,972.74"
HU17,"7,804.14","8,949.95"
HU18,"1,611.70","1,848.33"
HU19,742.7430628,851.7933593
HU2,"1,051.71","1,206.12"
HU20,330.799994,379.3683877
HU3,"6,038.70","6,925.31"
HU4,"2,130.63","2,443.45"
HU5,"7,539.32","8,646.25"
HU6,"5,532.39","6,344.66"
HU7,"2,783.17","3,191.80"
HU8,"4,800.99","5,505.88"
HU9,"8,027.76","9,206.41"
HX1,"4,747.63","5,444.68"
HX2,"6,069.30","6,960.40"
HX3,"8,383.57","9,614.46"
HX4,"8,189.60","9,392.01"
HX5,"2,700.73","3,097.25"
HX6,"7,906.70","9,067.57"
HX7,"1,926.78","2,209.68"
IG1,"1,538.93","1,764.87"
IG10,"2,422.47","2,778.14"
IG11,"1,890.60","2,168.18"
IG2,"1,078.34","1,236.66"
IG3,"1,730.85","1,984.98"
IG4,560.9004283,643.2524031
IG5,858.2545429,984.2643531
IG6,"1,002.11","1,149.25"
IG7,865.0561956,992.0646314
IG8,"4,093.07","4,694.02"
IG9,"1,897.10","2,175.63"
IP1,"4,781.31","5,483.31"
IP10,"1,207.51","1,384.80"
IP11,"4,841.90","5,552.79"
IP12,"6,140.72","7,042.31"
IP13,"6,368.00","7,302.95"
IP14,"14,363.59","16,472.47"
IP15,279.206259,320.1996077
IP16,476.1458754,546.0541
IP17,"3,053.88","3,502.25"
IP18,"3,282.19","3,764.09"
IP19,"3,005.69","3,446.99"
IP2,"4,529.75","5,194.81"
IP20,"3,598.45","4,126.77"
IP21,"5,272.73","6,046.88"
IP22,"8,274.64","9,489.54"
IP23,"3,738.49","4,287.38"
IP24,"5,553.24","6,368.58"
IP25,"2,480.44","2,844.63"
IP26,"1,128.79","1,294.52"
IP27,"2,511.38","2,880.11"
IP28,"5,563.51","6,380.35"
IP29,"4,724.84","5,418.55"
IP3,"6,694.73","7,677.66"
IP30,"1,504.04","1,724.87"
IP31,"4,841.02","5,551.78"
IP32,"4,358.96","4,998.95"
IP33,"2,689.76","3,084.67"
IP4,"4,373.49","5,015.61"
IP5,"4,335.76","4,972.34"
IP6,"2,696.59","3,092.50"
IP7,"3,057.79","3,506.74"
IP8,"3,225.08","3,698.59"
IP9,"6,578.10","7,543.90"
IV1,409.6369681,469.7802869
IV10,191.8587164,220.0276095
IV11,68.10213585,78.10096112
IV12,"2,515.26","2,884.56"
IV13,113.6251286,130.3076863
IV14,332.6850179,381.5301727
IV15,906.1478062,"1,039.19"
IV16,786.8012446,902.3202084
IV17,"3,965.18","4,547.35"
IV18,"4,706.82","5,397.87"
IV19,"3,398.05","3,896.96"
IV2,"8,636.35","9,904.35"
IV20,756.8448276,867.9655597
IV21,"1,230.99","1,411.73"
IV22,"1,660.02","1,903.74"
IV23,349.4388192,400.7437842
IV24,885.6385328,"1,015.67"
IV25,"1,435.06","1,645.75"
IV26,393.8569452,451.6834249
IV27,"1,375.86","1,577.86"
IV28,159.6611931,183.1028128
IV3,"3,382.71","3,879.36"
IV30,"6,134.72","7,035.43"
IV31,"1,171.67","1,343.69"
IV32,761.0590615,872.7985316
IV36,"5,382.21","6,172.43"
IV4,710.5222778,814.8418857
IV40,489.8259863,561.7427388
IV41,58.55161306,67.1482208
IV42,143.3031003,164.3430082
IV43,84.13915765,96.49255487
IV44,105.7358109,121.2600509
IV45,90.88688968,104.2309958
IV46,34.42312423,39.47716256
IV47,149.0245841,170.904526
IV48,17.82903198,20.4467087
IV49,365.3367126,418.9758226
IV5,221.5527144,254.0813107
IV51,"2,117.83","2,428.77"
IV52,70.87460721,81.28048956
IV53,25.1692837,28.86466369
IV54,397.3845877,455.7289995
IV55,687.167861,788.0585495
IV56,185.4044018,212.6256658
IV6,662.7202919,760.0215633
IV63,470.2066581,539.2428808
IV7,813.0519087,932.4250219
IV8,62.63566868,71.83190165
IV9,90.95747481,104.3119443
KA1,"2,411.74","2,765.84"
KA10,"2,677.90","3,071.07"
KA11,"1,037.99","1,190.39"
KA12,"6,569.10","7,533.58"
KA13,"4,380.10","5,023.19"
KA14,103.5995234,118.8101114
KA15,900.5507052,"1,032.77"
KA16,437.6443735,501.8997683
KA17,549.0681918,629.6829456
KA18,"4,291.88","4,922.01"
KA19,"4,963.32","5,692.04"
KA2,"1,097.49","1,258.62"
KA20,"1,204.22","1,381.02"
KA21,"1,107.97","1,270.64"
KA22,"1,008.07","1,156.08"
KA23,"4,748.33","5,445.48"
KA24,"1,437.21","1,648.23"
KA25,851.5670533,976.5949995
KA26,"3,313.89","3,800.44"
KA27,856.114645,981.8102732
KA28,529.914379,607.7169504
KA29,307.5311105,352.6831429
KA3,"1,891.88","2,169.64"
KA30,"2,415.83","2,770.52"
KA4,685.322397,785.9421326
KA5,"5,433.69","6,231.47"
KA6,"1,412.65","1,620.05"
KA7,"4,620.26","5,298.61"
KA8,"2,818.12","3,231.88"
KA9,"2,927.33","3,357.12"
KT1,"2,082.03","2,387.71"
KT10,"2,486.32","2,851.36"
KT11,"2,525.63","2,896.44"
KT12,"5,578.78","6,397.87"
KT13,"3,536.31","4,055.51"
KT14,"1,196.61","1,372.30"
KT15,"2,559.82","2,935.66"
KT16,"1,720.64","1,973.26"
KT17,"4,185.22","4,799.69"
KT18,"2,470.59","2,833.33"
KT19,"4,373.06","5,015.12"
KT2,"2,803.35","3,214.94"
KT20,"2,498.29","2,865.09"
KT21,991.6787656,"1,137.28"
KT22,"2,180.20","2,500.30"
KT23,"1,778.64","2,039.78"
KT24,"3,025.60","3,469.82"
KT3,"3,848.63","4,413.69"
KT4,"3,621.58","4,153.30"
KT5,"1,252.60","1,436.50"
KT6,"2,094.57","2,402.10"
KT7,"1,270.49","1,457.02"
KT8,"2,702.84","3,099.68"
KT9,"1,484.39","1,702.32"
KW1,"2,983.34","3,421.36"
KW10,442.6818024,507.6767976
KW11,50.91481446,58.39017962
KW12,539.0541581,618.1986412
KW13,37.2069798,42.66974665
KW14,"4,320.72","4,955.09"
KW15,"6,624.88","7,597.55"
KW16,"4,115.56","4,719.81"
KW17,"5,387.24","6,178.20"
KW2,21.88073339,25.09328506
KW3,281.7705586,323.1404003
KW5,87.52637892,100.3770914
KW6,110.3816636,126.5880124
KW7,38.87729249,44.58529635
KW8,275.9046692,316.413275
KW9,532.2466865,610.3916896
KY1,"7,941.92","9,107.97"
KY10,"3,002.17","3,442.95"
KY11,"4,265.00","4,891.19"
KY12,"2,444.75","2,803.69"
KY13,"4,240.43","4,863.02"
KY14,"2,808.49","3,220.84"
KY15,"8,829.94","10,126.36"
KY16,"5,187.22","5,948.81"
KY2,"3,613.66","4,144.22"
KY3,"4,722.69","5,416.08"
KY4,"5,767.36","6,614.13"
KY5,"2,443.89","2,802.70"
KY6,"3,276.86","3,757.97"
KY7,"3,471.95","3,981.71"
KY8,"6,768.45","7,762.21"
KY9,810.2482672,929.2097469
L1,698.5790478,801.1451385
L10,"2,104.45","2,413.43"
L11,"1,415.53","1,623.36"
L12,"2,517.02","2,886.58"
L13,"2,122.63","2,434.28"
L14,"2,977.20","3,414.31"
L15,"1,794.10","2,057.52"
L16,"1,055.71","1,210.71"
L17,"2,114.37","2,424.80"
L18,"5,025.04","5,762.83"
L19,"6,333.39","7,263.27"
L2,208.5446202,239.1633547
L20,"1,649.61","1,891.81"
L21,955.4608421,"1,095.74"
L22,292.5946695,335.5537183
L23,765.5264139,877.9217853
L24,"1,548.89","1,776.30"
L25,"2,830.00","3,245.50"
L26,"1,088.91","1,248.78"
L27,444.2013858,509.4194877
L28,274.6968929,315.0281718
L29,47.2057108,54.13650156
L3,848.672667,973.2756563
L30,"1,472.58","1,688.78"
L31,"2,641.95","3,029.84"
L32,"2,457.40","2,818.20"
L33,"1,714.21","1,965.89"
L34,"1,016.78","1,166.07"
L35,"1,790.90","2,053.84"
L36,"2,795.40","3,205.83"
L37,"4,410.69","5,058.27"
L38,769.7296807,882.74218
L39,"2,808.58","3,220.94"
L4,"2,117.10","2,427.94"
L40,"5,031.15","5,769.83"
L5,951.8876727,"1,091.64"
L6,"1,488.43","1,706.97"
L7,"1,185.41","1,359.45"
L8,"1,747.94","2,004.58"
L9,"2,446.50","2,805.69"
LA1,"9,866.94","11,315.61"
LA10,"1,751.13","2,008.24"
LA11,"3,088.65","3,542.13"
LA12,"5,384.48","6,175.04"
LA13,"3,385.08","3,882.08"
LA14,"4,026.89","4,618.12"
LA15,668.8776299,767.082928
LA16,370.8698362,425.3213251
LA17,"1,341.85","1,538.87"
LA18,"3,739.64","4,288.70"
FY0,0,0
G58,0,0
G70,0,0
G79,0,0
G90,0,0
GU95,0,0
IP98,0,0
IV99,0,0
KY99,0,0
L67,0,0
L69,0,0
L70,0,0
L71,0,0
L72,0,0
L74,0,0
L75,0,0
LA19,422.6367252,484.6886817
LA2,"7,080.55","8,120.13"
LA20,"1,598.11","1,832.74"
LA21,569.5943639,653.2227913
LA22,"2,000.36","2,294.06"
LA23,"2,271.27","2,604.75"
LA3,"2,876.19","3,298.47"
LA4,"2,390.02","2,740.93"
LA5,"5,745.76","6,589.36"
LA6,"12,567.39","14,412.55"
LA7,"1,216.48","1,395.08"
LA8,"2,533.14","2,905.06"
LA9,"9,449.51","10,836.90"
LD1,"5,191.46","5,953.68"
LD2,"1,482.91","1,700.64"
LD3,"9,746.56","11,177.56"
LD4,188.2139786,215.8477475
LD5,329.1483106,377.4742024
LD6,752.1821214,862.6182702
LD7,"2,703.86","3,100.84"
LD8,995.9195824,"1,142.14"
LE1,879.9994493,"1,009.20"
LE10,"6,058.64","6,948.17"
LE11,"2,875.72","3,297.94"
LE12,"11,647.37","13,357.45"
LE13,"5,774.60","6,622.44"
LE14,"4,184.14","4,798.45"
LE15,"16,244.53","18,629.57"
LE16,"12,013.15","13,776.94"
LE17,"2,787.45","3,196.70"
LE18,"5,210.49","5,975.50"
LE19,"1,953.86","2,240.73"
LE2,"10,465.19","12,001.70"
LE3,"8,000.03","9,174.60"
LE4,"3,273.27","3,753.85"
LE5,"2,781.37","3,189.73"
LE6,807.474248,926.0284434
LE65,"2,086.96","2,393.38"
LE67,"5,370.49","6,158.99"
LE7,"2,307.41","2,646.19"
LE8,"5,456.69","6,257.85"
LE9,"5,640.78","6,468.96"
LL11,"5,706.85","6,544.74"
LL12,"8,451.14","9,691.94"
LL13,"10,965.85","12,575.87"
LL14,"3,924.64","4,500.86"
LL15,"7,618.96","8,737.59"
LL16,"11,799.09","13,531.44"
LL17,820.1765757,940.5957398
LL18,"6,051.11","6,939.53"
LL19,"3,200.67","3,670.60"
LL20,"2,176.45","2,496.00"
LL21,"2,346.91","2,691.49"
LL22,"4,289.65","4,919.46"
LL23,"8,233.15","9,441.95"
LL24,"1,388.59","1,592.46"
LL25,366.2275697,419.9974763
LL26,"2,431.70","2,788.72"
LL27,513.5957435,589.0023961
LL28,"2,888.00","3,312.02"
LL29,"5,000.79","5,735.01"
LL30,"6,082.60","6,975.66"
LL31,"4,080.64","4,679.76"
LL32,"2,669.66","3,061.62"
LL33,"1,840.10","2,110.26"
LL34,"2,158.96","2,475.95"
LL35,749.4604297,859.4969769
LL36,"3,806.78","4,365.70"
LL37,901.7946772,"1,034.20"
LL38,532.5392224,610.727176
LL39,154.137729,176.7683881
LL40,"2,498.76","2,865.63"
LL41,"3,771.46","4,325.19"
LL42,"1,482.04","1,699.63"
LL43,256.874941,294.5895827
LL44,554.4860036,635.8962061
LL45,393.094968,450.8095734
LL46,"1,274.30","1,461.40"
LL47,81.46600744,93.42693001
LL48,295.3373079,338.6990336
LL49,604.4542256,693.2008136
LL51,100.2750948,114.9975869
LL52,331.4898309,380.1595071
LL53,"2,239.19","2,567.95"
LL54,"1,985.41","2,276.91"
LL55,"3,993.83","4,580.21"
LL56,452.2012572,518.5939085
LL57,"5,820.45","6,675.01"
LL58,"1,244.89","1,427.66"
LL59,"1,583.90","1,816.45"
LL60,"1,221.54","1,400.88"
LL61,"1,843.11","2,113.72"
LL62,967.440504,"1,109.48"
LL63,861.4435286,987.9215489
LL64,973.2110672,"1,116.10"
LL65,"9,503.03","10,898.28"
LL66,104.6987666,120.0707466
LL67,582.3563303,667.8584826
LL68,"2,361.77","2,708.52"
LL69,295.3294395,338.69001
LL70,126.1980397,144.7265651
LL71,742.8678906,851.9365145
LL72,404.0854582,463.4136987
LL73,117.5853504,134.8493519
LL74,792.0197701,908.3049232
LL75,481.2110455,551.8629436
LL76,70.70154318,81.08201609
LL77,"1,986.92","2,278.65"
LL78,129.3340055,148.3229565
LN1,"6,168.13","7,073.74"
LN10,"1,436.16","1,647.02"
LN11,"8,590.74","9,852.04"
LN12,"2,357.01","2,703.07"
LN13,"1,987.44","2,279.24"
LN2,"4,674.06","5,360.31"
LN3,"1,827.95","2,096.33"
LN4,"9,577.08","10,983.19"
LN5,"3,441.57","3,946.86"
LN6,"7,458.14","8,553.15"
LN7,745.1740403,854.5812554
LN8,"6,135.16","7,035.93"
LN9,"1,598.91","1,833.66"
LS1,401.2131436,460.1196679
LS10,"2,043.72","2,343.78"
LS11,"1,752.33","2,009.61"
LS12,"8,539.14","9,792.87"
LS13,"4,427.49","5,077.54"
LS14,"1,457.41","1,671.38"
LS15,"2,047.20","2,347.77"
LS16,"10,033.16","11,506.24"
LS17,"12,758.48","14,631.69"
LS18,"5,238.07","6,007.12"
LS19,"2,488.49","2,853.86"
LS2,443.2131647,508.2861751
LS20,"2,099.05","2,407.24"
LS21,"6,583.27","7,549.84"
LS22,"3,756.91","4,308.50"
LS23,"2,650.51","3,039.66"
LS24,"1,915.97","2,197.27"
LS25,"6,593.52","7,561.58"
LS26,"4,030.61","4,622.38"
LS27,"13,388.50","15,354.21"
LS28,"7,763.99","8,903.91"
LS29,"6,804.54","7,803.59"
LS3,195.3234421,224.0010298
LS4,381.1515103,437.1125651
LS5,706.4832507,810.2098445
LS6,"5,519.47","6,329.85"
LS7,"3,975.34","4,559.00"
LS8,"2,966.42","3,401.96"
LS9,"1,380.22","1,582.87"
LU1,"3,537.79","4,057.21"
LU2,"5,654.75","6,484.98"
LU3,"5,718.93","6,558.59"
LU4,"2,559.90","2,935.74"
LU5,"3,511.92","4,027.55"
LU6,"2,287.76","2,623.66"
LU7,"10,467.95","12,004.87"
M1,462.4768799,530.3782087
M11,686.9936689,787.8587824
M12,399.0288278,457.6146486
M13,693.0870898,794.8468455
M14,"3,437.19","3,941.84"
M15,"1,743.89","1,999.93"
M16,"4,122.59","4,727.88"
M17,152.1643354,174.5052588
M18,"1,095.09","1,255.87"
M19,"1,515.38","1,737.87"
M2,120.4666092,138.1536401
M20,"2,952.98","3,386.54"
M21,"2,416.52","2,771.31"
M22,"3,681.59","4,222.13"
M23,"2,463.30","2,824.97"
M24,"2,573.72","2,951.60"
M25,"1,092.28","1,252.65"
M26,"2,975.69","3,412.59"
M27,"5,419.72","6,215.44"
M28,"2,649.81","3,038.86"
M29,"1,819.85","2,087.04"
M3,579.2622922,664.3101747
M30,"2,718.38","3,117.50"
M31,"1,416.07","1,623.98"
M32,"2,225.09","2,551.78"
M33,"5,579.92","6,399.17"
M34,"4,418.30","5,067.00"
M35,476.5470515,546.5141772
M38,826.6549306,948.0252534
M4,306.3640463,351.344729
M40,"1,151.35","1,320.39"
M41,"3,746.63","4,296.71"
M43,"1,152.02","1,321.16"
M44,"2,231.26","2,558.85"
M45,"1,267.42","1,453.51"
M46,"1,633.48","1,873.31"
M5,874.4409248,"1,002.83"
M50,203.1059556,232.9261799
M6,"1,401.31","1,607.05"
M7,986.716462,"1,131.59"
M8,843.5156808,967.3615162
M9,"1,220.78","1,400.02"
M90,23.35288464,26.78157906
ME1,"5,480.78","6,285.47"
ME10,"6,351.79","7,284.37"
ME11,674.6454326,773.6975654
ME12,"3,038.34","3,484.43"
ME13,"6,739.63","7,729.14"
ME14,"9,609.33","11,020.18"
ME15,"7,249.74","8,314.16"
ME16,"3,456.80","3,964.33"
ME17,"4,015.76","4,605.36"
ME18,"1,326.60","1,521.37"
ME19,"2,766.05","3,172.16"
ME2,"4,405.03","5,051.78"
ME20,"3,976.76","4,560.63"
ME3,"2,715.59","3,114.29"
ME4,"3,478.28","3,988.96"
ME5,"8,825.32","10,121.06"
ME6,"1,308.69","1,500.83"
ME7,"4,019.65","4,609.82"
ME8,"6,197.64","7,107.59"
ME9,"2,951.72","3,385.09"
MK1,242.028627,277.5635176
MK10,"3,944.74","4,523.91"
MK11,"2,186.40","2,507.41"
MK12,"1,028.04","1,178.97"
MK13,866.3671609,993.568074
MK14,"3,805.08","4,363.74"
MK15,"4,029.08","4,620.64"
MK16,"6,310.78","7,237.34"
MK17,"3,383.46","3,880.23"
MK18,"9,197.06","10,547.38"
MK19,923.8104222,"1,059.45"
MK2,"1,488.49","1,707.03"
MK3,"2,274.17","2,608.06"
MK4,"2,024.17","2,321.36"
MK40,"2,484.69","2,849.49"
MK41,"7,655.64","8,779.65"
MK42,"2,907.52","3,334.40"
MK43,"2,488.24","2,853.57"
MK44,"2,263.32","2,595.62"
MK45,"10,813.54","12,401.20"
MK46,453.1682175,519.7028389
MK5,855.9817464,981.6578623
MK6,"3,393.71","3,891.98"
MK7,"3,026.08","3,470.37"
MK8,798.9708847,916.2766076
MK9,425.3574989,487.8089222
ML1,"5,754.42","6,599.29"
ML10,"4,120.57","4,725.56"
ML11,"17,274.03","19,810.22"
ML12,"5,869.05","6,730.75"
ML2,"1,995.40","2,288.37"
ML3,"5,019.53","5,756.50"
ML4,"2,318.02","2,658.36"
ML5,"3,799.54","4,357.39"
ML6,"3,906.89","4,480.50"
ML7,739.8575773,848.4842238
ML8,"6,312.23","7,239.00"
ML9,"2,999.88","3,440.33"
N1,"5,910.76","6,778.58"
N10,"3,070.68","3,521.52"
N11,"1,872.66","2,147.60"
N12,"1,817.77","2,084.65"
N13,"1,140.36","1,307.79"
N14,"2,137.02","2,450.78"
N15,989.5855085,"1,134.88"
N16,"1,383.44","1,586.56"
N17,"1,591.30","1,824.94"
N18,910.783558,"1,044.51"
N19,"2,733.25","3,134.55"
N1C,65.55498391,75.17983372
N2,"2,545.84","2,919.62"
N20,"1,709.13","1,960.06"
N21,"1,528.76","1,753.21"
N22,"1,865.20","2,139.06"
N3,"2,283.31","2,618.54"
N4,"2,831.04","3,246.69"
N5,"1,240.45","1,422.57"
N6,"2,402.00","2,754.67"
N7,"3,684.93","4,225.95"
N8,"4,375.66","5,018.10"
N9,"1,741.84","1,997.58"
NE1,"1,927.72","2,210.74"
NE10,"6,676.11","7,656.30"
NE11,"1,821.25","2,088.65"
NE12,"3,114.00","3,571.20"
NE13,"2,559.00","2,934.71"
NE15,"3,000.80","3,441.38"
NE16,"3,367.06","3,861.42"
NE17,362.6003665,415.8377233
NE18,92.36806982,105.9296443
NE19,441.716092,506.5693006
NE2,"4,346.68","4,984.87"
NE20,"2,098.11","2,406.16"
NE21,"1,111.39","1,274.56"
NE22,"4,713.88","5,405.98"
NE23,"11,829.17","13,565.94"
NE24,"11,553.60","13,249.91"
NE25,"6,175.07","7,081.70"
NE26,"1,757.12","2,015.10"
NE27,"1,239.66","1,421.67"
NE28,"2,748.27","3,151.77"
NE29,"6,160.44","7,064.92"
NE3,"6,822.57","7,824.27"
NE30,"2,537.54","2,910.10"
NE31,"1,070.38","1,227.53"
NE32,"1,414.73","1,622.44"
NE33,"3,009.14","3,450.94"
NE34,"4,174.50","4,787.40"
NE35,344.4700655,395.045513
NE36,"1,034.38","1,186.25"
NE37,"3,914.92","4,489.71"
NE38,"2,834.31","3,250.45"
NE39,493.7034039,566.1894429
NE4,"4,306.08","4,938.30"
NE40,"1,186.61","1,360.83"
NE41,239.0158507,274.1084025
